CPU_name,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
Intel Xeon E5-2640 V3,8,2.6,3.4,
Intel Pentium Gold G5400,2,3.7,,Intel UHD Graphics 610
AMD Athlon X2 340,2,3.2,,
Intel Core i3-12100T,4,2.2,4.1,Intel UHD Graphics 730
Intel Core i7-9700K,8,3.6,4.9,Intel UHD Graphics 630
Intel Core i5-13500T,14,1.6,4.6,Intel UHD Graphics 770
Intel Core i9-14900F,24,2,5.8,
Intel Core i3-4170,2,3.7,,Intel HD Graphics 4400
Intel Celeron G5905,2,3.5,,Intel UHD Graphics 610
Intel Celeron G5920,2,3.5,,Intel UHD Graphics 610
AMD FX-8300,8,3.3,,
Intel Celeron E3400,2,2.6,,
Intel Xeon E5-2698 V3,16,2.3,3.6,
Intel Core i5-8500T,6,2.1,3.5,Intel UHD Graphics 630
Intel Core i5-9600,6,3.1,4.6,Intel UHD Graphics 630
Intel Core i7-7800X,6,3.5,4,
Intel Core i7-6700K,4,4,4.2,Intel HD Graphics 530
Intel Core i9-9980XE,18,3,4.4,
Intel Core i7-6700,4,3.4,4,Intel HD Graphics 530
Intel Core i7-7820X,8,3.6,4.5,
AMD Ryzen 7 3800X,8,3.9,4.5,
Intel Pentium G4560,2,3.5,,Intel HD Graphics 610
AMD FX-6350,6,3.9,,
Intel Core i3-530,2,2.93,,Intel HD Graphics
AMD Ryzen 5 2600X,6,3.6,4.2,
Intel Core i7-4930K,6,3.4,3.9,
Intel Core i9-10920X,12,3.5,4.8,
Intel Core i5-7400T,4,2.4,3,Intel HD Graphics 630
Intel Xeon E5-2630 V3,8,2.4,3.2,
AMD A10-9700E,4,3,3.5,Radeon R7 (on-die)
Intel Celeron G3900,2,2.8,,Intel HD Graphics 510
Intel Core i5-4670,4,3.4,,Intel HD Graphics 4600
Intel Core i7-920,4,2.66,,
Intel Celeron 420,1,1.6,,
Intel Core i7-9700F,8,3,4.7,
Intel Core i5-4570S,4,2.9,,Intel HD Graphics 4600
Intel Core i5-10600,6,3.3,4.8,Intel UHD Graphics 630
Intel Core i3-3220,2,3.3,,Intel HD Graphics 2500
Intel Celeron G5925,2,3.6,,Intel UHD Graphics 610
AMD FX-6100,6,3.3,,
Intel Core i7-5930K,6,3.5,3.7,
Intel Core i7-5960X,8,3,3.5,
AMD Threadripper 2970WX,24,3,4.2,
Intel Core i3-2120,2,3.3,,Intel HD Graphics 2000
Intel Core i7-9700,8,3,4.7,Intel HD Graphics 630
AMD Ryzen 9 3900,12,3.1,,
AMD FX-8370,8,4,4.3,
AMD Ryzen 5 3400G,4,3.7,4.2,Radeon Vega 11
AMD A6-6400K,2,3.9,,Radeon HD 8470D
Intel Core i7-3930K,6,3.2,,
Intel Core i5-3330,4,3,,Intel HD Graphics 2500
Intel Core i5-6402P,4,2.8,3.4,Intel HD Graphics 510
Intel Xeon E5-2699 V3,18,2.3,3.6,
Intel Core i5-11600,6,2.8,4.8,Intel UHD Graphics 750
AMD A4-6300,2,3.7,3.9,Radeon HD 8370D
AMD FX-4300,4,3.8,,
Intel Xeon E5-2680,8,2.7,3.5,
Intel Core i7-4820K,4,3.7,3.9,
Intel Core i5-9600K,6,3.7,4.6,Intel UHD Graphics 630
Intel Core i7-7740X,4,4.3,4.5,
Intel Core i3-4160,2,3.6,,Intel HD Graphics 4400
Intel Core i3-13100T,4,2.5,4.2,Intel UHD Graphics 730
Intel Core i5-2400S,4,2.5,,Intel HD Graphics 2000
AMD A8-9600,4,3.1,3.4,Radeon R7 (on-die)
Intel Xeon E5-2667 V3,8,3.2,3.6,
Intel Xeon E5-2683 V4,16,2.1,3,
Intel Core i9-10940X,14,3.3,4.8,
Intel Core i7-4770K,4,3.5,3.9,Intel HD Graphics 4600
Intel Core i7-860,4,2.8,,
Intel Core i7-3820,4,3.6,,
Intel Core i5-4430,4,3,,Intel HD Graphics 4600
AMD Ryzen 7 1700X,8,3.4,3.8,
AMD FX-6120,6,3.5,4.1,
Intel Xeon E5-1650 V3,6,3.5,3.8,
Intel Xeon E5-2630,6,2.3,,
Intel Core i7-7700T,4,2.9,3.8,Intel HD Graphics 630
Intel Core i7-870,4,2.93,,
Intel Pentium G4400,2,3.3,,Intel HD Graphics 510
AMD 5350,4,2.05,,Radeon HD 8400
Intel Core i7-4770S,4,3.1,,Intel HD Graphics 4600
Intel Core i7-4960X Extreme Edition,6,3.6,4,
Intel Xeon E5-2660,8,2.2,3,
Intel Core i7-6950X,10,3,3.5,
Intel Core i3-8350K,4,4,,Intel UHD Graphics 630
AMD A10-9700,4,3.5,3.8,Radeon R7 (on-die)
Intel Core i7-980X Extreme Edition,6,3.33,,
Intel Pentium G640,2,2.8,,Intel HD Graphics
Intel Core 2 Quad Q9550,4,2.83,,
AMD Athlon II X4 640,4,3,,
Intel Xeon E5-2695 V2,12,2.4,3.2,
Intel Core i5-9500F,6,3,4.4,
Intel Core i5-8600K,6,3.6,4.3,Intel UHD Graphics 630
Intel Core i9-9980XE,18,3,4.4,
AMD FX-8350,8,4,,
AMD A8-7600,4,3.1,3.8,Radeon R7 (on-die)
AMD FX-6300,6,3.5,,
Intel Core i9-7920X,12,2.9,4.4,
Intel Core i3-10300,4,3.7,4.4,Intel UHD Graphics 630
