CPU_name,CPU_price,CPU_core_count,CPU_core_clock,CPU_boost_clock,CPU_graphics
Intel Core i7-13700T,,16,1.4,4.9,
Intel Core i7-920,90,4,2.66,,
Intel Core i7-3820,,4,3.6,,
AMD A10-7850K,139.84,4,3.7,4,Radeon R7 (on-die)
Intel Core i9-9980XE,1067,18,3,4.4,
Intel Core i3-8350K,,4,4,,Intel UHD Graphics 630
AMD A6-9500,89.95,2,3.5,3.8,Radeon R5 (on die)
Intel Celeron G4900,72.55,2,3.1,,Intel UHD Graphics 610
Intel Core i3-10300,121.22,4,3.7,4.4,Intel UHD Graphics 630
AMD Ryzen 7 1700X,,8,3.4,3.8,
AMD Athlon X4 950,,4,3.5,3.8,
Intel Core i5-750,75,4,2.66,,
Intel Core i7-7700T,489.95,4,2.9,3.8,Intel HD Graphics 630
Intel Core i7-860,339,4,2.8,,
Intel Xeon E5-2630 V3,175.44,8,2.4,3.2,
Intel Core i7-8700T,199,6,2.4,4,Intel UHD Graphics 630
Intel Core 2 Duo E7600,192.63,2,3.06,,
AMD Athlon II X4 630,52.6,4,2.8,,
AMD FX-6300,78.51,6,3.5,,
Intel Xeon E5-2650 V2,185,8,2.6,3.4,
Intel Xeon E5-2697 V2,,12,2.7,3.5,
Intel Core i3-4160,,2,3.6,,Intel HD Graphics 4400
Intel Core i7-9800X,,8,3.8,4.5,
Intel Celeron G4900T,59.95,2,1.8,,Intel UHD Graphics 610
AMD A10-9700E,,4,3,3.5,Radeon R7 (on-die)
AMD FX-9370,198.5,8,4.4,4.7,
Intel Core 2 Duo E8500,,2,3.16,,
AMD A8-7600,,4,3.1,3.8,Radeon R7 (on-die)
Intel Core i7-4960X Extreme Edition,775.04,6,3.6,4,
Intel Xeon E5-2698 V4,,20,2.2,3.6,
Intel Core i5-4430,,4,3,,Intel HD Graphics 4600
Intel Core i5-8600K,,6,3.6,4.3,Intel UHD Graphics 630
Intel Core i3-4370,60,2,3.8,,Intel HD Graphics 4600
AMD Phenom II X4 965 Black,,4,3.4,,
Intel Core i7-4790S,,4,3.2,4,Intel HD Graphics 4000
Intel Celeron G5905,,2,3.5,,Intel UHD Graphics 610
AMD Ryzen 7 PRO 7745,,8,3.8,5.3,Radeon
Intel Core i5-4440S,,4,2.8,3.3,Intel HD Graphics 4600
Intel Xeon E3-1231 V3,246.11,4,3.4,3.8,
Intel Pentium Gold G6500,70.98,2,4.1,,Intel UHD Graphics 630
Intel Core i5-3350P,,4,3.1,,
Intel Core i5-6500T,,4,2.5,3.1,Intel HD Graphics 530
Intel Core 2 Quad Q9300,42.6,4,2.5,,
Intel Core i7-870,100,4,2.93,,
Intel Core i7-6700T,,4,2.8,3.6,Intel HD Graphics 530
Intel Xeon E5-2680 V3,,12,2.5,3.3,
AMD A6-6400K,75,2,3.9,,Radeon HD 8470D
AMD Ryzen 5 PRO 7645,,6,3.8,5.1,Radeon
Intel Xeon E5-2697 V4,,18,2.3,3.6,
Intel Xeon E5-2680,98.88,8,2.7,3.5,
Intel Xeon E5-2697 V3,,14,2.6,3.6,
Intel Core i7-3970X Extreme Edition,223.42,6,3.5,,
